1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,YEAR,DC_DISTANCE TO CENTER,MASS(g),PK_PEAK HEIGHT,HD_HATCHING DATE,HD_HATCHING DATE2,SYN_SYNCHRONY,SYN2_SYNCHRONY2
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2573.032841,10.5,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2573.032841,10.2,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2641.43143,8.8,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2641.43143,10,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2641.43143,10,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2641.43143,10.5,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2641.43143,9.5,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2194.22925,10.8,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2194.22925,11,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2194.22925,11,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1946.694635,7,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1614.078375,12.5,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1614.078375,11.2,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1614.078375,10.5,0.15877875,0.688172043,0.473580761,-5,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1614.078375,11.2,0.15877875,0.688172043,0.473580761,-5,25
